geometry,address
POINT (-91.436951 30.706556),"New Roads Street, 70760, New Roads, Louisiana, United States"
POINT EMPTY,
POINT (-91.442296 30.697431),"Duhe Lane, 70760, New Roads, Louisiana, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-91.89597139039267 32.7793369),"Carriage House, East Madison Avenue, 71220, East Madison Avenue, Bastrop, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-78.8734149 36.0853269),"5012, Lazy Wood Lane, 27712, Lazy Wood Lane, Durham, NC, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-91.8879073 32.778401),"Wendy's, East Madison Avenue, 71220, East Madison Avenue, Bastrop, LA, United States"
POINT (-92.15770365010484 32.50323535),"El Jarrito Mexican Restaurant, 100, Constitution Drive, 71292, Constitution Drive, West Monroe, LA, United States"
POINT (-92.15857073469286 32.50971525),"Trinity Diamonds Direct, 201, Blanchard Street, 71291, Blanchard Street, West Monroe, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-92.1043868 32.5517284),"Lake Desiard Drive, 71201, Monroe, Louisiana, United States"
POINT EMPTY,
POINT (-92.1043868 32.5517284),"Lake Desiard Drive, 71201, Monroe, Louisiana, United States"
POINT (-92.1043868 32.5517284),"Lake Desiard Drive, 71201, Monroe, Louisiana, United States"
POINT EMPTY,
POINT (-92.0856124 32.5153189),"Carroll High School, Renwick Street, 71203, Renwick Street, Monroe, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-87.64400133345335 41.937878299999994),"3101-3111, North Broadway, 60657, North Broadway, Chicago, IL, United States"
POINT EMPTY,
POINT (-91.4917936 32.4620788),"Delhi Elementary School, Main Street, 71232, Main Street, Delhi, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.3988842 30.6365914),"Tangipahoa Parish Sheriff's Office Loranger Sub Station, Highway 1062, 70446, Highway 1062, LA, United States"
POINT (-91.1431649 30.7179769),"Slaughter, Church Street, 70777, Church Street, Slaughter, LA, United States"
POINT EMPTY,
POINT (-90.6747098 30.819531),"Greensburg Fire Department, Highway 37, 70411, Highway 37, Greensburg, LA, United States"
POINT (-90.5027782 30.6428796),"North Railroad Avenue, 70443, Independence, Louisiana, United States"
POINT EMPTY,
POINT (-90.5005832 30.6370392),"Independence Police Department, East Railroad Avenue, 70443, East Railroad Avenue, Independence, LA, United States"
POINT EMPTY,
POINT (-90.5005832 30.6370392),"Independence Police Department, East Railroad Avenue, 70443, East Railroad Avenue, Independence, LA, United States"
POINT (-90.5146298 30.9195845),"Newman Lane, 70444, Kentwood, Louisiana, United States"
POINT (-90.5146298 30.9195845),"Newman Lane, 70444, Kentwood, Louisiana, United States"
POINT EMPTY,
POINT (-90.5005832 30.6370392),"Independence Police Department, East Railroad Avenue, 70443, East Railroad Avenue, Independence, LA, United States"
POINT EMPTY,
POINT (-90.5093814 30.93642055),"Kentwood Fire Department, 3rd Street, 70444, 3rd Street, Kentwood, LA, United States"
POINT (-90.5230495 30.9029336),"Highway 1051, 70444, Kentwood, Louisiana, United States"
POINT (-90.693664 30.828915),"South Main Street, 70441, Greensburg, Louisiana, United States"
POINT (-79.5293752 40.297145099999994),"77, Laurel Drive, 15601, Laurel Drive, Greensburg, PA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-91.4349433 31.5693815),"Vidalia Church of Christ, Carter Street, 71373, Carter Street, Vidalia, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-92.1911204 31.3660181),"Hayden R Lawrence Middle School, Highway 1207, 71328, Highway 1207, Louisiana, United States"
POINT (-92.4036826 31.0916168),"Saint Charles Avenue, 71346, Lecompte, Louisiana, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-92.5447458 31.0167295),"State Route 497, 71430, Forest Hill, Louisiana, United States"
POINT EMPTY,
POINT (-92.1911204 31.3660181),"Hayden R Lawrence Middle School, Highway 1207, 71328, Highway 1207, Louisiana, United States"
POINT (-92.478471 31.2590727),"The Church of Jesus Christ of Latter-day Saints, Horseshoe Drive, 71301, Horseshoe Drive, Alexandria, Louisiana, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-92.6376491 32.5176498),"Louisiana Methodist Childrens Home, South Vienna Street, 71272, South Vienna Street, Ruston, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-92.4351369 31.3212933),"Pineville Main Street Community Center, Main Street, 71360, Main Street, Pineville, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-92.4970483 31.3333402),"Montessori Educational Center School, North Bolton Avenue, 71303, North Bolton Avenue, Alexandria, LA, United States"
