geometry,address
POINT (-73.2166714 41.1647933),"46, Albion Street, 06605, Albion Street, Bridgeport, CT, United States"
POINT (-73.2572379 41.1420882),"50, Capital St STE 500, 06824, Capital St STE 500, Fairfield, CT, United States"
POINT (-73.1767412 41.1900795),"495, Jane Street, 06608, Jane Street, Bridgeport, CT, United States"
POINT (-73.1960414 41.1719977),"392, Prospect Street, 06604, Prospect Street, Bridgeport, CT, United States"
POINT (-73.19857228543903 41.202850049999995),"David F. Read School, 130, Ezra Street, 06606, Ezra Street, Bridgeport, CT, United States"
POINT (-73.19546345007664 41.17143385),"680, Park Avenue, 06604, Park Avenue, Bridgeport, CT, United States"
POINT (-73.2041491932572 41.17481515),"1020, Fairfield Avenue, 06605, Fairfield Avenue, Bridgeport, CT, United States"
POINT (-73.2057843 41.1743111),"1116, Fairfield Avenue, 06605, Fairfield Avenue, Bridgeport, CT, United States"
POINT (-73.2166714 41.1647933),"46, Albion Street, 06605, Albion Street, Bridgeport, CT, United States"
POINT (-73.2097278 41.1748843),"510, Clinton Avenue, 06605, Clinton Avenue, Bridgeport, CT, United States"
POINT (-73.2045169 41.1746192),"1046, Fairfield Avenue, 06605, Fairfield Avenue, Bridgeport, CT, United States"
POINT (-73.2093643 41.1793905),"509, Wood Avenue, 06604, Wood Avenue, Bridgeport, CT, United States"
POINT (-73.1206469 41.7936244),"332, South Main Street, 06790, South Main Street, Torrington, CT, United States"
POINT (-73.1270571 41.7951148),"340, Litchfield Street, 06790, Litchfield Street, Torrington, CT, United States"
POINT (-73.1180201 41.7950074),"88, East Albert Street, 06790, East Albert Street, Torrington, CT, United States"
POINT (-73.12084938601525 41.8019601),"Warner Theatre, 68, Main Street, 06790, Main Street, Torrington, CT, United States"
POINT (-73.0661408 41.5412372),"118, Carriage Drive, 06708, Carriage Drive, Waterbury, CT, United States"
POINT (-73.4162927 41.3713305),"212, Greenwood Avenue, 06801, Greenwood Avenue, Bethel, CT, United States"
POINT (-72.8182456 41.5390674),"426, West Main Street, 06451, West Main Street, Meriden, CT, United States"
POINT (-73.3925284 41.3812136),"Bethel Middle School, 300, Whittlesey Drive, 06801, Whittlesey Drive, Bethel, CT, United States"
POINT EMPTY,
POINT (-73.049004 41.5654002),"289, Willow Street, 06710, Willow Street, Waterbury, CT, United States"
POINT (-72.7745201 41.6511757),"505, South Main Street, 06051, South Main Street, New Britain, CT, United States"
POINT (-72.7623869 41.5281989),"100, Maple Avenue, 06450, Maple Avenue, Meriden, CT, United States"
