geometry,address
POINT (-73.2429402 40.7801894),"1869, Brentwood Road, 11717, Brentwood Road, Brentwood, NY, United States"
POINT (-73.0103304 40.7504322),"501, South Ocean Avenue, 11772, South Ocean Avenue, Brookhaven, NY, United States"
POINT (-72.8791434603601 40.80000195),"550, Montauk Highway, 11967, Montauk Highway, Brookhaven, NY, United States"
POINT (-73.36150838754375 40.7535394),"1556, Straight Path, 11798, Straight Path, Babylon, NY, United States"
POINT EMPTY,
POINT (-73.6168843 40.8652436),"Glen Cove, Pearsall Avenue, 11542, Pearsall Avenue, Glen Cove, New York, United States"
POINT (-73.4838143 40.7432812),"Bethpage, Railroad Avenue, 11714, Railroad Avenue, Bethpage, NY, United States"
POINT (-73.57524376784518 40.7610547),"682, Union Avenue, 11590, Union Avenue, Westbury, NY, United States"
POINT (-73.58777197423456 40.76918095),"Westbury High School, 1, Post Road, 11568, Post Road, Old Westbury, NY, United States"
POINT (-73.57082388101787 40.64496795),"230, Hanse Avenue, 11520, Hanse Avenue, Freeport, NY, United States"
POINT (-73.60247109719269 40.65425625),"Freeport High School, 50, South Brookside Avenue, 11520, South Brookside Avenue, Freeport, NY, United States"
POINT (-73.72096859209077 40.70866225),"Elmont Family Health Center, 161, Hempstead Turnpike, 11003, Hempstead Turnpike, Elmont, NY, United States"
POINT (-73.6261397 40.7110111),"135, Main Street, 11550, Main Street, Hempstead, NY, United States"
POINT (-73.5908781657754 40.6818969),"380, Nassau Road, 11575, Nassau Road, Roosevelt, NY, United States"
POINT (-73.58744509720924 40.65395145),"101, South Bergen Place, 11520, South Bergen Place, Freeport, NY, United States"
POINT (-73.6401404 40.6252517),"2, Alhambra Drive, 11572, Alhambra Drive, Oceanside, NY, United States"
POINT (-73.5807191 40.6884481),"1, Wagner Avenue, 11575, Wagner Avenue, Roosevelt, NY, United States"
POINT EMPTY,
POINT (-73.8087375 40.7061886),"148-5A, Hillside Avenue, 11435, Hillside Avenue, New York, NY, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-73.8088251 40.6987631),"Jamaica, 94th Avenue, 11433, 94th Avenue, New York, NY, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-73.7807937 40.6802886),"Guy R Brewer Blvd & 120 Avenue, Guy R Brewer Boulevard, 11434, Guy R Brewer Boulevard, New York, NY, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-73.8274051 40.6894178),"South Richmond Hill Station Jamaica Post Office, 101st Avenue, 11419, 101st Avenue, New York, NY, United States"
POINT (-73.753154 40.603567),"1045, Beach 20th Street, 11691, Beach 20th Street, New York, NY, United States"
POINT EMPTY,
POINT (-73.74912005 40.607840499999995),"1288, Central Avenue, 11691, Central Avenue, New York, New York, United States"
POINT (-73.7807937 40.6802886),"Guy R Brewer Blvd & 120 Avenue, Guy R Brewer Boulevard, 11434, Guy R Brewer Boulevard, New York, NY, United States"
POINT (-73.8077023 40.699835),"Jamaica, Sutphin Boulevard, 11434, Sutphin Boulevard, New York, NY, United States"
POINT (-73.8229054 40.752811),"Charles B Wang Community Health Center, Elder Avenue, 11355, Elder Avenue, New York, New York, United States"
POINT (-73.8694786 40.7491675),"Junction Boulevard, Roosevelt Avenue, 11368, Roosevelt Avenue, New York, NY, United States"
POINT (-73.950308 40.706092),"Broadway, Union Avenue, 11211, Union Avenue, New York, NY, United States"
POINT (-73.9658547 40.6832766),"Clinton–Washington Avenues, Fulton Street, 11207, Fulton Street, New York, NY, United States"
POINT (-73.9761273 40.6934934),"Park Candy & Grocery, 297A, Myrtle Avenue, 11205, Myrtle Avenue, New York, NY, United States"
POINT (-73.9066461996186 40.68326235),"1495, Bushwick Avenue, 11207, Bushwick Avenue, New York, New York, United States"
POINT (-73.9288105 40.7079499),"89, Porter Avenue, 11237, Porter Avenue, New York, New York, United States"
POINT (-73.8876431405318 40.6791564),"2903, Fulton Street, 11207, Fulton Street, New York, NY, United States"
POINT (-73.944484 40.7054909),"94, Manhattan Avenue, 11206, Manhattan Avenue, New York, New York, United States"
POINT (-73.952815 40.7470885),"City Vet, Vernon Boulevard, 11109, Vernon Boulevard, New York, NY, United States"
POINT (-73.9767989 40.6945228),"39, Auburn Place, 11205, Auburn Place, New York, New York, United States"
POINT (-73.9569751 40.7415095),"Long Island City, Borden Avenue, 11109, Borden Avenue, New York, NY, United States"
POINT (-73.89414130237435 40.67998075),"179, Jamaica Avenue, 11207, Jamaica Avenue, New York, New York, United States"
POINT (-73.985942 40.69218),"Jay Street–MetroTech, Willoughby Street, 11201, Willoughby Street, New York, NY, United States"
POINT (-73.8702425 40.6757718),"2763, Pitkin Avenue, 11208, Pitkin Avenue, New York, New York, United States"
POINT (-73.98434394081349 40.69646025),"The Tillary Hotel, 85, Flatbush Avenue Extension, 11201, Flatbush Avenue Extension, New York, NY, United States"
POINT (-73.93891047662653 40.7107448),"The High School of Enterprise, Business, and Technology, 850, Grand Street, 11211, Grand Street, New York, NY, United States"
POINT (-73.9187811 40.694626),"335, Central Avenue, 11221, Central Avenue, New York, NY, United States"
POINT (-73.93959269999999 40.6997917),"815, Broadway, 11206, Broadway, New York, New York, United States"
POINT (-73.9675623 40.6955719),"100, Washington Avenue, 11205, Washington Avenue, New York, NY, United States"
POINT (-73.98204763839797 40.6918117),"NYC Department of Health, 295, Flatbush Avenue Extension, 11201, Flatbush Avenue Extension, New York, New York, United States"
POINT (-73.95431323059039 40.72962285),"875, Manhattan Avenue, 11222, Manhattan Avenue, New York, NY, United States"
POINT (-73.94447209848192 40.7097173),"Brooklyn Latin School, 223, Graham Avenue, 11206, Graham Avenue, New York, NY, United States"
POINT (-73.88383492744936 40.6768523),"350, Linwood Street, 11208, Linwood Street, New York, NY, United States"
POINT (-73.9605296 40.708144),"333, Roebling Street, 11211, Roebling Street, New York, New York, United States"
